Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Research Challenges in Information Science","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-05760-1","Renata GuizzardiDr. Jolita RalytéProf. Dr. Xavier Franch","2022","http://link.springer.com/book/10.1007/978-3-031-05760-1","Book"
"Model-driven engineering for mobile robotic systems: a systematic mapping study","Software and Systems Modeling","","21","1","10.1007/s10270-021-00908-8","Giuseppina Lucia CasalaroGiulio CattiveraFederico CiccozziIvano MalavoltaAndreas WortmannPatrizio Pelliccione","2022","http://link.springer.com/article/10.1007/s10270-021-00908-8","Article"
"Recent Trends and Advances in Model Based Systems Engineering","","","","","10.1007/978-3-030-82083-1","Prof. Azad M. MadniDr. Barry BoehmDaniel ErwinMahta MoghaddamMichael SieversMarilee Wheaton","2022","http://link.springer.com/book/10.1007/978-3-030-82083-1","Book"
"Security Compliance in Model-driven Development of Software Systems in Presence of Long-Term Evolution and Variants","","","","","10.1007/978-3-658-37665-9","Sven Matthias Peldszus","2022","http://link.springer.com/book/10.1007/978-3-658-37665-9","Book"
"Domain-Specific Conceptual Modeling","","","","","10.1007/978-3-030-93547-4","Prof. Dr. Dimitris KaragiannisProf. Moonkun LeeProf. Dr. Knut HinkelmannDr. Wilfrid Utz","2022","http://link.springer.com/book/10.1007/978-3-030-93547-4","Book"
"Recommender systems in model-driven engineering","Software and Systems Modeling","","21","1","10.1007/s10270-021-00905-x","Lissette AlmonteEsther GuerraIván CantadorJuan de Lara","2022","http://link.springer.com/article/10.1007/s10270-021-00905-x","Article"
"Frontier Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-8052-6","Prof. Jason C. HungNeil Y. YenDr. Jia-Wei Chang","2022","http://link.springer.com/book/10.1007/978-981-16-8052-6","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-07475-2","Adriano AugustoProf. Asif GillDr. Dominik BorkSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer Schmidt","2022","http://link.springer.com/book/10.1007/978-3-031-07475-2","Book"
"ITNG 2022 19th International Conference on Information Technology-New Generations","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-97652-1","Dr. Shahram Latifi","2022","http://link.springer.com/book/10.1007/978-3-030-97652-1","Book"
"Fundamental Approaches to Software Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-99429-7","Prof. Einar Broch JohnsenProf. Manuel Wimmer","2022","http://link.springer.com/book/10.1007/978-3-030-99429-7","Book"
"Developments and Advances in Defense and Security","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-4884-7","Dr. Álvaro RochaDr. Carlos Hernan Fajardo-ToroProf. José María Riola Rodríguez","2022","http://link.springer.com/book/10.1007/978-981-16-4884-7","Book"
"Advanced Intelligent Systems for Sustainable Development (AI2SD’2020)","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-90639-9","Janusz KacprzykDr. Valentina E. BalasProf. Mostafa Ezziyyani","2022","http://link.springer.com/book/10.1007/978-3-030-90639-9","Book"
"Proceedings of 2021 International Conference on Autonomous Unmanned Systems (ICAUS 2021)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-9492-9","Meiping WuYifeng NiuMancang GuJin Cheng","2022","http://link.springer.com/book/10.1007/978-981-16-9492-9","Book"
"Artificial Intelligence in Medicine","","","","","10.1007/978-3-030-64573-1","Niklas LidströmerDr. Hutan Ashrafian","2022","http://link.springer.com/referencework/10.1007/978-3-030-64573-1","ReferenceWork"
"Intelligent Decision Support Systems","","","","","10.1007/978-3-030-87790-3","Dr. Miquel Sànchez-Marrè","2022","http://link.springer.com/book/10.1007/978-3-030-87790-3","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-07472-1","Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck","2022","http://link.springer.com/book/10.1007/978-3-031-07472-1","Book"
"Advances in Information and Communication","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-98012-2","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-98012-2","Book"
"Requirements Engineering: Laying a Firm Foundation","","","","","10.1007/978-3-030-91077-8","Dr. James A. CrowderCurtis W. Hoff","2022","http://link.springer.com/book/10.1007/978-3-030-91077-8","Book"
"Coordination Models and Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-031-08143-9","Maurice H. ter BeekMarjan Sirjani","2022","http://link.springer.com/book/10.1007/978-3-031-08143-9","Book"
"Encyclopedia of Computational Neuroscience","","","","","10.1007/978-1-0716-1006-0","Dieter JaegerRanu Jung","2022","http://link.springer.com/referencework/10.1007/978-1-0716-1006-0","ReferenceWork"
"Safety and Security of Cyber-Physical Systems","","","","","10.1007/978-3-658-37182-1","Dr. Frank J. Furrer","2022","http://link.springer.com/book/10.1007/978-3-658-37182-1","Book"
"The 8th International Conference on Advanced Machine Learning and Technologies and Applications (AMLTA2022)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-03918-8","Prof. Aboul Ella HassanienProf. Rawya Y. RizkVáclav SnášelProf. Rehab F. Abdel-Kader","2022","http://link.springer.com/book/10.1007/978-3-031-03918-8","Book"
"Proceedings of the Future Technologies Conference (FTC) 2021, Volume 3","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89912-7","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-89912-7","Book"
"Introducing Blockchain Applications","","","","","10.1007/978-1-4842-7480-4","Joseph Thachil George","2022","http://link.springer.com/book/10.1007/978-1-4842-7480-4","Book"
"Advances in Intelligent Automation and Soft Computing","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-81007-8","Prof. Dr. Xiaolong Li","2022","http://link.springer.com/book/10.1007/978-3-030-81007-8","Book"
"Proceedings of the Eighth Asia International Symposium on Mechatronics","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1309-9","Baoyan DuanProf. Kazunori UmedaChang-wan Kim","2022","http://link.springer.com/book/10.1007/978-981-19-1309-9","Book"
"Software Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-031-11513-4","Prof. Dr. Hans-Georg FillDr. Marten van SinderenProf. Leszek A. Maciaszek","2022","http://link.springer.com/book/10.1007/978-3-031-11513-4","Book"
"Signal and Information Processing, Networking and Computers","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-3387-5","Prof. Jiande SunDr. Yue WangMengyao HuoDr. Lexi Xu","2023","http://link.springer.com/book/10.1007/978-981-19-3387-5","Book"
"Networking, Intelligent Systems and Security","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-3637-0","Prof. Dr. Mohamed Ben AhmedProf. Horia-Nicolai L. TeodorescuProf. Tomader MazriProf. Dr. Parthasarathy SubashiniProf. Dr. Anouar Abdelhakim Boudhir","2022","http://link.springer.com/book/10.1007/978-981-16-3637-0","Book"
"Application of Intelligent Systems in Multi-modal Information Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-05237-8","Prof. Vijayan SugumaranDr. A. G. SreedeviDr. Zheng Xu","2022","http://link.springer.com/book/10.1007/978-3-031-05237-8","Book"
"Springer Handbook of Geographic Information","Springer Handbooks","","","","10.1007/978-3-030-53125-6","Wolfgang KresseDavid Danko","2022","http://link.springer.com/book/10.1007/978-3-030-53125-6","Book"
"Advances in Guidance, Navigation and Control","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-15-8155-7","Prof. Liang YanProf. Haibin DuanProf. Xiang Yu","2022","http://link.springer.com/book/10.1007/978-981-15-8155-7","Book"
"A Survey-driven Feature Model for Software Traceability Approaches","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-99429-7_2","Edouard Romari BatotSebastien GérardJordi Cabot","2022","http://link.springer.com/chapter/10.1007/978-3-030-99429-7_2","Chapter"
"Sense, Feel, Design","Lecture Notes in Computer Science","","","","10.1007/978-3-030-98388-8","Carmelo ArditoRosa LanzilottiAlessio MaliziaProf. Marta LarusdottirLucio Davide SpanoDr. José CamposMorten HertzumTilo MentlerJosé Abdelnour NoceraDr. Lara PiccoloStefan SauerGerrit van der Veer","2022","http://link.springer.com/book/10.1007/978-3-030-98388-8","Book"
"Model-based assurance evidence management for safety–critical systems","Software and Systems Modeling","","","","10.1007/s10270-021-00957-z","Jose Luis de la VaraArturo S. GarcíaJorge ValeroClara Ayora","2022","http://link.springer.com/article/10.1007/s10270-021-00957-z","Article"
"Artificial Intelligence in Cardiothoracic Imaging","Contemporary Medical Imaging","","","","10.1007/978-3-030-92087-6","MD Carlo N. De CeccoPh.D. Marly van AssenMD Tim Leiner","2022","http://link.springer.com/book/10.1007/978-3-030-92087-6","Book"
"Ernst Denert Award for Software Engineering 2020","","","","","10.1007/978-3-030-83128-8","Prof. Dr. Michael FeldererProf. Dr. Wilhelm HasselbringHeiko KoziolekProf. Dr. Florian MatthesProf. Dr. Lutz PrecheltProf. Dr. Ralf ReussnerProf. Dr. Bernhard RumpeProf. Dr. Ina Schaefer","2022","http://link.springer.com/book/10.1007/978-3-030-83128-8","Book"
"Evaluation of Novel Approaches to Software Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-030-96648-5","Raian AliProf. Dr. Hermann KaindlProf. Leszek A. Maciaszek","2022","http://link.springer.com/book/10.1007/978-3-030-96648-5","Book"
"Computer Information Systems and Industrial Management","Lecture Notes in Computer Science","","","","10.1007/978-3-031-10539-5","Khalid SaeedJiří Dvorský","2022","http://link.springer.com/book/10.1007/978-3-031-10539-5","Book"
"Lean and Agile Software Development","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-94238-0","Dr. Adam PrzybyłekAleksander JarzębowiczIvan LukovićYen Ying Ng","2022","http://link.springer.com/book/10.1007/978-3-030-94238-0","Book"
"Process Querying Methods","","","","","10.1007/978-3-030-92875-9","Dr. Artem Polyvyanyy","2022","http://link.springer.com/book/10.1007/978-3-030-92875-9","Book"
"Advances in Systems Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-92604-5","Prof. Dr. Leszek BorzemskiProf. Dr. Henry SelvarajProf. Jerzy Świątek","2022","http://link.springer.com/book/10.1007/978-3-030-92604-5","Book"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96308-8","Dr. Ajith AbrahamDr. Niketa GandhiDr. Thomas HanneDr. Tzung-Pei HongDr. Tatiane Nogueira RiosDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-96308-8","Book"
"Innovative Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4258-6","Prof. Jason C. HungDr. Jia-Wei ChangDr. Yan PeiProf. Wei-Chen Wu","2022","http://link.springer.com/book/10.1007/978-981-16-4258-6","Book"
"How consistency is handled in model-driven software engineering and UML: an expert opinion survey","Software Quality Journal","","","","10.1007/s11219-022-09585-2","Damiano TorreMarcela GeneroYvan LabicheMaged Elaasar","2022","http://link.springer.com/article/10.1007/s11219-022-09585-2","Article"
"Big Data and Security","Communications in Computer and Information Science","","","","10.1007/978-981-19-0852-1","Dr. Yuan TianTinghuai MaMuhammad Khurram KhanVictor S. ShengZhaoqing Pan","2022","http://link.springer.com/book/10.1007/978-981-19-0852-1","Book"
"Application of Intelligent Systems in Multi-modal Information Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-05484-6","Prof. Vijayan SugumaranDr. A. G. SreedeviDr. Zheng Xu","2022","http://link.springer.com/book/10.1007/978-3-031-05484-6","Book"
"Proceedings of the 5th International Conference on Electrical Engineering and Information Technologies for Rail Transportation (EITRT) 2021","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-9913-9","Yong QinLimin JiaJianying LiangZhigang LiuLijun DiaoMin An","2022","http://link.springer.com/book/10.1007/978-981-16-9913-9","Book"
"Proceedings of the Future Technologies Conference (FTC) 2021, Volume 1","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89906-6","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-89906-6","Book"
"The 2021 International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-89511-2","Prof. John MacintyreDr. Jinghua ZhaoDr. Xiaomeng Ma","2022","http://link.springer.com/book/10.1007/978-3-030-89511-2","Book"
"Theoretical Aspects of Software Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-10363-6","Yamine Aït-AmeurFlorin Crăciun","2022","http://link.springer.com/book/10.1007/978-3-031-10363-6","Book"
"Communications, Signal Processing, and Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-0390-8","Prof. Qilian LiangWei WangDr. Xin LiuProf. Zhenyu NaBaoju Zhang","2022","http://link.springer.com/book/10.1007/978-981-19-0390-8","Book"
