Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Composing Model-Based Analysis Tools","","","","","10.1007/978-3-030-81915-6","Dr. Robert HeinrichProf. Francisco DuránDr. Carolyn TalcottDr. Steffen Zschaler","2021","http://link.springer.com/book/10.1007/978-3-030-81915-6","Book"
"Model and Data Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78428-7","Christian AttiogbéSadok Ben Yahia","2021","http://link.springer.com/book/10.1007/978-3-030-78428-7","Book"
"Leveraging Applications of Formal Methods, Verification and Validation","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89159-6","Tiziana MargariaProf. Dr. Bernhard Steffen","2021","http://link.springer.com/book/10.1007/978-3-030-89159-6","Book"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-75418-1","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2021","http://link.springer.com/book/10.1007/978-3-030-75418-1","Book"
"Software Engineering for Robotics","","","","","10.1007/978-3-030-66494-7","Prof. Ana CavalcantiDr. Brijesh DongolProf. Rob HieronsProf. Jon TimmisProf. Dr. Jim Woodcock","2021","http://link.springer.com/book/10.1007/978-3-030-66494-7","Book"
"Integrating the analysis of multiple non-functional properties in model-driven engineering","Software and Systems Modeling","","20","6","10.1007/s10270-021-00953-3","Dorina C. Petriu","2021","http://link.springer.com/article/10.1007/s10270-021-00953-3","Article"
"Domain-Specific Languages in Practice","","","","","10.1007/978-3-030-73758-0","Dr. Antonio BucchiaronePh.D. Antonio CicchettiDr. Federico CiccozziProf. Alfonso Pierantonio","2021","http://link.springer.com/book/10.1007/978-3-030-73758-0","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79186-5","Adriano AugustoAsif GillSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer SchmidtJelena Zdravkovic","2021","http://link.springer.com/book/10.1007/978-3-030-79186-5","Book"
"Model-Based Approach for Co-optimization of Safety and Security Objectives in Design of Critical Architectures","Model and Data Engineering","","","","10.1007/978-3-030-78428-7_2","Kunal SuriGabriel PedrozaPatrick Leserf","2021","http://link.springer.com/chapter/10.1007/978-3-030-78428-7_2","Chapter"
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85874-2","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85874-2","Book"
"Quality of Information and Communications Technology","Communications in Computer and Information Science","","","","10.1007/978-3-030-85347-1","Prof. Ana C. R. PaivaAna Rosa CavalliPaula Ventura MartinsRicardo Pérez-Castillo","2021","http://link.springer.com/book/10.1007/978-3-030-85347-1","Book"
"Theoretical Computer Science","Communications in Computer and Information Science","","","","10.1007/978-981-16-7443-3","Zhiping CaiJian LiDr. Jialin Zhang","2021","http://link.springer.com/book/10.1007/978-981-16-7443-3","Book"
"Formal model-driven executable DSLs","Innovations in Systems and Software Engineering","","","","10.1007/s11334-021-00408-4","Akram Idani","2021","http://link.springer.com/article/10.1007/s11334-021-00408-4","Article"
"Information Technology and Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-68285-9","Prof. Álvaro RochaProf. Carlos FerrásProf. Paulo Carlos López-LópezProf. Teresa Guarda","2021","http://link.springer.com/book/10.1007/978-3-030-68285-9","Book"
"Innovations in Smart Cities Applications Volume 4","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-66840-2","Prof. Dr. Mohamed Ben AhmedProf. Dr. İsmail Rakıp KarașProf. Dr. Domingos SantosDr. Olga SergeyevaProf. Anouar Abdelhakim Boudhir","2021","http://link.springer.com/book/10.1007/978-3-030-66840-2","Book"
"Model-driven engineering city spaces via bidirectional model transformations","Software and Systems Modeling","","20","6","10.1007/s10270-020-00851-0","Ennio ViscontiChristos TsigkanosZhenjiang HuCarlo Ghezzi","2021","http://link.springer.com/article/10.1007/s10270-020-00851-0","Article"
"Business Modeling and Software Design","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79976-2","Dr. Boris Shishkov","2021","http://link.springer.com/book/10.1007/978-3-030-79976-2","Book"
"Computational Science and Its Applications – ICCSA 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86970-0","Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoCarmelo Maria Torre","2021","http://link.springer.com/book/10.1007/978-3-030-86970-0","Book"
"Web Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-74296-6","Ph.D. Marco BrambillaProf. Richard ChbeirFlavius FrasincarDr. Ioana Manolescu","2021","http://link.springer.com/book/10.1007/978-3-030-74296-6","Book"
"A framework for Model-Driven Engineering of resilient software-controlled systems","Computing","","103","4","10.1007/s00607-020-00841-6","Jacopo ParriFulvio PataraSamuele SampietroEnrico Vicario","2021","http://link.springer.com/article/10.1007/s00607-020-00841-6","Article"
"Information and Communication Technology for Competitive Strategies (ICTCS 2020)","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0882-7","Dr. M. Shamim KaiserDr. Juanying XieProf. Dr. Vijay Singh Rathore","2021","http://link.springer.com/book/10.1007/978-981-16-0882-7","Book"
"Computer Safety, Reliability, and Security","Lecture Notes in Computer Science","","","","10.1007/978-3-030-83903-1","Dr. Ibrahim HabliMark SujanFriedemann Bitsch","2021","http://link.springer.com/book/10.1007/978-3-030-83903-1","Book"
"Encyclopedia of Systems and Control","","","","","10.1007/978-3-030-44184-5","John BaillieulTariq Samad","2021","http://link.springer.com/referencework/10.1007/978-3-030-44184-5","ReferenceWork"
"Advances in Parallel & Distributed Processing, and Applications","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-69984-0","Dr. Hamid R. ArabniaLeonidas DeligiannidisMichael R. GrimailaDouglas D. HodsonProf. Kazuki JoeMasakazu SekijimaFernando G. Tinetti","2021","http://link.springer.com/book/10.1007/978-3-030-69984-0","Book"
"Advanced Information Systems Engineering Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79022-6","Dr. Artem PolyvyanyyStefanie Rinderle-Ma","2021","http://link.springer.com/book/10.1007/978-3-030-79022-6","Book"
"Bootstrapping MDE development from ROS manual code: Part 2—Model generation and leveraging models at runtime","Software and Systems Modeling","","20","6","10.1007/s10270-021-00873-2","Nadia Hammoudeh GarcíaHarshavardhan DeshpandeAndré SantosBjörn KahlMirko Bordignon","2021","http://link.springer.com/article/10.1007/s10270-021-00873-2","Article"
